"","program","program_link","station_name","mea_contribution","address","city","state","zipcode","location","available_to_the_public","lat","long"
"206","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Criswell Nissan",NA,"19574 Amaranth Dr","Germantown","MD",20874,"19574 Amaranth Dr
Germantown, Maryland 20874
(39.176279758000476, -77.25063273899963)","Public","39.176279758000476"," -77.25063273899963"
"207","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Nissan of Bowie",NA,"2500 N Crain Hwy","Bowie","MD",20716,"2500 N Crain Hwy
Bowie, Maryland 20716
(38.924288695000484, -76.71736123199963)","Public","38.924288695000484"," -76.71736123199963"
"208","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","LifeBridge Health - Belvedere Garage",NA,"2455-2491 W Belvedere Ave","Baltimore","MD",21215,"2455-2491 W Belvedere Ave
Baltimore, Maryland 21215
(39.33975031400047, -76.68545821299966)","Public","39.33975031400047"," -76.68545821299966"
"209","Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/index.html","One Irvington Centre Associate",400,"702 King Farm Blvd","Rockville","MD",20850,"702 King Farm Blvd
Rockville, Maryland 20850
(39.11126046600049, -77.17880349199964)","Public","39.11126046600049"," -77.17880349199964"
"210","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",156.33,"","Baltimore","MD",21209,"
Baltimore, Maryland 21209
(39.37418286500048, -76.66979575799968)","","39.37418286500048"," -76.66979575799968"
"211","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","Little Italy Garage",14929.56,"400 S Central Ave","Baltimore","MD",21202,"400 S Central Ave
Baltimore, Maryland 21202
(39.28598820200045, -76.59925593599968)","Public","39.28598820200045"," -76.59925593599968"
"212","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Baltimore County Revenue Authority - Baltimore Ave",NA,"110 W Susquehanna Ave","Towson","MD",21204,"110 W Susquehanna Ave
Towson, Maryland 21204
(39.39871538300048, -76.60642807299968)","Public","39.39871538300048"," -76.60642807299968"
"213","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"2204 Rolling Rd","Baltimore","MD",21244,"2204 Rolling Rd
Baltimore, Maryland 21244
(39.32022592900046, -76.75815987599964)","Public","39.32022592900046"," -76.75815987599964"
"214","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","National Institute of Health",NA,"5635 Fishers Ln","Rockville","MD",20852,"5635 Fishers Ln
Rockville, Maryland 20852
(39.06279793300047, -77.11482738599966)","Public","39.06279793300047"," -77.11482738599966"
"215","E-85 Refueling Stations","http://energy.maryland.gov/Transportation/e85Refueling.html","W Express",NA,"5143 River Road","Bethesda","MD",20816,"5143 River Road
Bethesda, Maryland 20816
(38.9643144100005, -77.10294386699968)","Public","38.9643144100005"," -77.10294386699968"
"216","E-85 Refueling Stations","http://energy.maryland.gov/Transportation/e85Refueling.html","Chevron",NA,"1395 West Patrick St","Frederick","MD",21702,"1395 West Patrick St
Frederick, Maryland 21702
(39.41946379100045, -77.46012913099963)","Public","39.41946379100045"," -77.46012913099963"
"217","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","The Prime Street Grille",NA,"4680 Crain Hwy","White Plains","MD",20695,"4680 Crain Hwy
White Plains, Maryland 20695
(38.58363688600048, -76.94974285899963)","Public","38.58363688600048"," -76.94974285899963"
"218","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",144.22,"","Clinton","MD",20735,"
Clinton, Maryland 20735
(38.75722249900048, -76.89952923299967)","","38.75722249900048"," -76.89952923299967"
"219","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Rockwall II",NA,"5515 Security Ln","Rockville","MD",20852,"5515 Security Ln
Rockville, Maryland 20852
(39.04184611600044, -77.11094169999967)","Public","39.04184611600044"," -77.11094169999967"
"220","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",92,"","Columbia","MD",21045,"
Columbia, Maryland 21045
(39.205861697000444, -76.82756725299964)","","39.205861697000444"," -76.82756725299964"
"221","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","MOM's Organic Market",NA,"3301 Plaza Way","Waldorf","MD",20603,"3301 Plaza Way
Waldorf, Maryland 20603
(38.62170409100048, -76.91806529799965)","Public","38.62170409100048"," -76.91806529799965"
"222","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Baltimore County Revenue Authority - Delaware Ave Parking Lot",NA,"5 E Pennsylvania Ave","Towson","MD",21286,"5 E Pennsylvania Ave
Towson, Maryland 21286
(39.40032281000049, -76.60130377999963)","Public","39.40032281000049"," -76.60130377999963"
"223","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",144.22,"","Chevy Chase","MD",20815,"
Chevy Chase, Maryland 20815
(38.977953123000475, -77.08250610499965)","","38.977953123000475"," -77.08250610499965"
"224","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"4020 Eastern Ave","Baltimore","MD",21224,"4020 Eastern Ave
Baltimore, Maryland 21224
(39.28685755800046, -76.56256529699965)","Public","39.28685755800046"," -76.56256529699965"
"225","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","Caroline Street Garage",14929.56,"805 S Caroline St","Baltimore","MD",21201,"805 S Caroline St
Baltimore, Maryland 21201
(39.281483892000495, -76.59645480699965)","Public","39.281483892000495"," -76.59645480699965"
"226","Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/index.html","Maple Lawn Office Four, LLC",1200,"8160 Maple Lawn Blvd","Fulton","MD",20759,"8160 Maple Lawn Blvd
Fulton, Maryland 20759
(39.14914507500049, -76.90509772599967)","Public","39.14914507500049"," -76.90509772599967"
"227","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Passport Nissan Marlow Heights",NA,"5000 Auth Way","Marlow Heights","MD",20746,"5000 Auth Way
Marlow Heights, Maryland 20746
(38.82616606300047, -76.92377467999967)","Public","38.82616606300047"," -76.92377467999967"
"228","E-85 Refueling Stations","http://energy.maryland.gov/Transportation/e85Refueling.html","Montgomery County",NA,"16640 Crabbs Branch Way","Rockville","MD",20855,"16640 Crabbs Branch Way
Rockville, Maryland 20855
(39.127680892000456, -77.16697801599963)","Public","39.127680892000456"," -77.16697801599963"
"229","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"6323 Baltimore National Pike","Catonsville","MD",21228,"6323 Baltimore National Pike
Catonsville, Maryland 21228
(39.283864190000486, -76.75565525099967)","Public","39.283864190000486"," -76.75565525099967"
"230","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"6700 Ritchie Hwy","Glen Burnie","MD",21061,"6700 Ritchie Hwy
Glen Burnie, Maryland 21061
(39.19335316100046, -76.61360624199966)","Public","39.19335316100046"," -76.61360624199966"
"231","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",209.8,"","Bowie","MD",20716,"
Bowie, Maryland 20716
(38.93107051400045, -76.72551610799968)","","38.93107051400045"," -76.72551610799968"
"232","E-85 Refueling Stations","http://energy.maryland.gov/Transportation/e85Refueling.html","SHA Refueling Station",NA,"7491 Connelley Drive","Hanover","MD",21076,"7491 Connelley Drive
Hanover, Maryland 21076
(39.15996168200047, -76.68031103599964)","Private","39.15996168200047"," -76.68031103599964"
"233","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","City of Towson - Union Garage",NA,"8000 York Rd","Towson","MD",21252,"8000 York Rd
Towson, Maryland 21252
(39.39299146500048, -76.60449676599967)","Public","39.39299146500048"," -76.60449676599967"
"234","E-85 Refueling Stations","http://www.afdc.energy.gov/locator/stations/","Town Center Chevron",NA,"12301 Middlebrook Rd","Germantown","MD",20874,"12301 Middlebrook Rd
Germantown, Maryland 20874
(39.17541764700047, -77.25404491699965)","Public","39.17541764700047"," -77.25404491699965"
"235","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","The Frederick Motor Company",NA,"1 Waverley Dr","Frederick","MD",21702,"1 Waverley Dr
Frederick, Maryland 21702
(39.419768115000466, -77.46114120899966)","Public","39.419768115000466"," -77.46114120899966"
"236","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"1930 Pulaski Hwy","Edgewood","MD",21040,"1930 Pulaski Hwy
Edgewood, Maryland 21040
(39.435337510000465, -76.31533519799967)","Public","39.435337510000465"," -76.31533519799967"
"237","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",144.22,"","Severn","MD",21144,"
Severn, Maryland 21144
(39.126261196000485, -76.69088641399964)","","39.126261196000485"," -76.69088641399964"
"238","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","The Tower Companies - The Blairs",NA,"1401 Blair Mill Rd","Silver Spring","MD",20910,"1401 Blair Mill Rd
Silver Spring, Maryland 20910
(38.99011858600045, -77.03225538399965)","Public","38.99011858600045"," -77.03225538399965"
"239","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",400,"","Hagerstown","MD",21742,"
Hagerstown, Maryland 21742
(39.65797255400048, -77.68676601899966)","","39.65797255400048"," -77.68676601899966"
"240","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Sheehy Nissan",NA,"7232 Ritchie Hwy","Glen Burnie","MD",21061,"7232 Ritchie Hwy
Glen Burnie, Maryland 21061
(39.172867614000495, -76.61898938299964)","Public","39.172867614000495"," -76.61898938299964"
"241","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","MedImmune Ventures - Visitor's Parking Lot",NA,"200 Orchard Ridge Dr","Gaithersburg","MD",20878,"200 Orchard Ridge Dr
Gaithersburg, Maryland 20878
(39.12744865100046, -77.23303175199965)","Public","39.12744865100046"," -77.23303175199965"
"242","E-85 Refueling Stations","http://energy.maryland.gov/Transportation/e85Refueling.html","Citgo",NA,"2042 West St","Annapolis","MD",21401,"2042 West St
Annapolis, Maryland 21401
(38.98366766200047, -76.53845663999965)","Public","38.98366766200047"," -76.53845663999965"
"243","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","Baltimore Washington International Airport (BWI) - Hourly Parking Garage",25592.6,"7062 Elm Rd","Baltimore","MD",21240,"7062 Elm Rd
Baltimore, Maryland 21240
(39.18851128500046, -76.67579522499966)","Public","39.18851128500046"," -76.67579522499966"
"244","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","Mariner Arena Garage",14929.56,"200 W Lombard St","Baltimore","MD",21201,"200 W Lombard St
Baltimore, Maryland 21201
(39.28767580600049, -76.61778610099964)","Public","39.28767580600049"," -76.61778610099964"
"245","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Antwerpen Nissan - Security",NA,"1701 Woodlawn Dr","Baltimore","MD",21207,"1701 Woodlawn Dr
Baltimore, Maryland 21207
(39.31272861600047, -76.73500466899964)","Public","39.31272861600047"," -76.73500466899964"
"246","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","CMT Advisory Service",NA,"576-626 Pleasant Hill Rd","Owings Mills","MD",21117,"576-626 Pleasant Hill Rd
Owings Mills, Maryland 21117
(39.41086185600045, -76.81197812599964)","Public","39.41086185600045"," -76.81197812599964"
"247","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Qiagen Sciences",NA,"19300 Germantown Rd","Germantown","MD",20874,"19300 Germantown Rd
Germantown, Maryland 20874
(39.17200299500047, -77.27688980899967)","Public","39.17200299500047"," -77.27688980899967"
"248","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","Saint John's Maple Lawn",12796.3,"8160 Maple Lawn Blvd","Fulton","MD",20759,"8160 Maple Lawn Blvd
Fulton, Maryland 20759
(39.14914507500049, -76.90509772599967)","Public","39.14914507500049"," -76.90509772599967"
"249","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Maryland Institute College of Art - Bunting Building",NA,"1401 W Mt Royal Ave","Baltimore","MD",21217,"1401 W Mt Royal Ave
Baltimore, Maryland 21217
(39.3089432430005, -76.62225124799966)","Public","39.3089432430005"," -76.62225124799966"
"250","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"1300 E North Ave","Baltimore","MD",21213,"1300 E North Ave
Baltimore, Maryland 21213
(39.311918480000486, -76.60006133399963)","Public","39.311918480000486"," -76.60006133399963"
"251","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","Office building",6398.15,"8201 16th Street","Silver Spring","MD",20910,"8201 16th Street
Silver Spring, Maryland 20910
(38.99221662400049, -77.03609478199968)","Public","38.99221662400049"," -77.03609478199968"
"252","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","University of Maryland - Pratt Garage",NA,"646 W Pratt St","Baltimore","MD",21201,"646 W Pratt St
Baltimore, Maryland 21201
(39.28617770800048, -76.62495170199963)","Public","39.28617770800048"," -76.62495170199963"
"253","Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/index.html","Four Irvington Centre Associates",400,"805 King Farm Blvd","Rockville","MD",20850,"805 King Farm Blvd
Rockville, Maryland 20850
(39.111491827000464, -77.17899242699963)","Public","39.111491827000464"," -77.17899242699963"
"254","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Maryland Transit Authority - Mount Washington",NA,"5701 Smith Ave","Baltimore","MD",21209,"5701 Smith Ave
Baltimore, Maryland 21209
(39.36789841400048, -76.65243000299967)","Public","39.36789841400048"," -76.65243000299967"
"255","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","University of Maryland - Lexington Garage",NA,"600 W Lexington St","Baltimore","MD",21201,"600 W Lexington St
Baltimore, Maryland 21201
(39.29167810500047, -76.62395205999968)","Public","39.29167810500047"," -76.62395205999968"
"256","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Bob Bell Nissan",NA,"7900 Eastern Ave","Baltimore","MD",21224,"7900 Eastern Ave
Baltimore, Maryland 21224
(39.29592776700048, -76.50846738999968)","Public","39.29592776700048"," -76.50846738999968"
"257","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Montgomery Park",NA,"1800 Washington Blvd","Baltimore","MD",21230,"1800 Washington Blvd
Baltimore, Maryland 21230
(39.27521362800047, -76.64236962799964)","Public","39.27521362800047"," -76.64236962799964"
"258","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"12400 Auto Dr","Clarksville","MD",21029,"12400 Auto Dr
Clarksville, Maryland 21029
(39.20932610900047, -76.94069633999965)","Public","39.20932610900047"," -76.94069633999965"
"259","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","University of Maryland - Shady Grove",NA,"9630 Gudelsky Dr","Rockville","MD",20850,"9630 Gudelsky Dr
Rockville, Maryland 20850
(39.09254287400046, -77.19793140899964)","Public","39.09254287400046"," -77.19793140899964"
"260","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Bethesda Row",NA,"7115 Arlington Rd","Bethesda","MD",20814,"7115 Arlington Rd
Bethesda, Maryland 20814
(38.981069540000476, -77.09838743899968)","Public","38.981069540000476"," -77.09838743899968"
"261","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","Penn Station Garage",14929.56,"1511 N Charles St","Baltimore","MD",21201,"1511 N Charles St
Baltimore, Maryland 21201
(39.30733820400047, -76.61628526999965)","Public","39.30733820400047"," -76.61628526999965"
"262","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",228,"","Crofton","MD",21114,"
Crofton, Maryland 21114
(39.01093171500048, -76.68531611699967)","","39.01093171500048"," -76.68531611699967"
"263","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",109.8,"","North Potomac","MD",20878,"
North Potomac, Maryland 20878
(39.11832287100049, -77.23415983199965)","","39.11832287100049"," -77.23415983199965"
"264","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"6301 York Rd","Baltimore","MD",21212,"6301 York Rd
Baltimore, Maryland 21212
(39.37139005400047, -76.60978533699966)","Public","39.37139005400047"," -76.60978533699966"
"265","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Crain Memorial Welcome Center - Charles County",NA,"12480 Crain Hwy","Newburg","MD",20664,"12480 Crain Hwy
Newburg, Maryland 20664
(38.369378381000445, -76.96143061299966)","Public","38.369378381000445"," -76.96143061299966"
"266","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Safeway",NA,"444 WMC Dr","Westminister","MD",21158,"444 WMC Dr
Westminister, Maryland 21158
(39.58621493200047, -77.01134128699965)","Public","39.58621493200047"," -77.01134128699965"
"267","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Kohl's",NA,"12024 Cherry Hill Rd","Silver Spring","MD",20904,"12024 Cherry Hill Rd
Silver Spring, Maryland 20904
(39.053290638000476, -76.95337730299963)","Public","39.053290638000476"," -76.95337730299963"
"268","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Nationwide Motor Sales Corp",NA,"2085 York Rd","Timonium","MD",21093,"2085 York Rd
Timonium, Maryland 21093
(39.43994486300045, -76.62592054799967)","Public","39.43994486300045"," -76.62592054799967"
"269","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Shirlen Building",NA,"8725 Loch Raven Blvd","Towson","MD",21286,"8725 Loch Raven Blvd
Towson, Maryland 21286
(39.39870846000048, -76.56387406899967)","Public","39.39870846000048"," -76.56387406899967"
"270","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",144.22,"","Pikesville","MD",21208,"
Pikesville, Maryland 21208
(39.37661172300045, -76.72958737799968)","","39.37661172300045"," -76.72958737799968"
"271","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Joint Apprenticeship and Training Committee - IBEW Local Union 26",NA,"4371 Parliament Pl","Lanham-Seabrook","MD",20706,"4371 Parliament Pl
Lanham-Seabrook, Maryland 20706
(38.950170191000495, -76.83658792399967)","Public","38.950170191000495"," -76.83658792399967"
"272","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","MOM's Organic Market - College Park",NA,"9827 Rhode Island Ave","College Park","MD",20740,"9827 Rhode Island Ave
College Park, Maryland 20740
(39.01377643000046, -76.92139116899966)","Public","39.01377643000046"," -76.92139116899966"
"273","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","FastPark",NA,"1718 W Nursery Rd","Linthicum Heights","MD",21090,"1718 W Nursery Rd
Linthicum Heights, Maryland 21090
(39.197897741000475, -76.68352785999963)","Public","39.197897741000475"," -76.68352785999963"
"274","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","The Tower Companies - The Blairs Shopping Center",12796.3,"1220 East West Hwy","Silver Spring","MD",20910,"1220 East West Hwy
Silver Spring, Maryland 20910
(38.99170980200046, -77.03057288999963)","Public","38.99170980200046"," -77.03057288999963"
"275","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",98,"","Olney","MD",20832,"
Olney, Maryland 20832
(39.15280049000046, -77.07121777999964)","","39.15280049000046"," -77.07121777999964"
"276","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Under Armour",NA,"1040 Hull St","Baltimore","MD",21230,"1040 Hull St
Baltimore, Maryland 21230
(39.27479365100049, -76.59041922799963)","Public","39.27479365100049"," -76.59041922799963"
"277","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Maryland Transit Administration - Odenton Marc",NA,"1392-1398 Odenton Rd","Odenton","MD",21113,"1392-1398 Odenton Rd
Odenton, Maryland 21113
(39.07829206500048, -76.68503751399965)","Public","39.07829206500048"," -76.68503751399965"
"278","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",240,"","Edgewater","MD",21037,"
Edgewater, Maryland 21037
(38.918122397000445, -76.54171803099968)","","38.918122397000445"," -76.54171803099968"
"279","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",240,"","Bethesda","MD",20817,"
Bethesda, Maryland 20817
(39.002724000000455, -77.13874785599967)","","39.002724000000455"," -77.13874785599967"
